# Diccionario ingles-espanol ordenado por frecuencia de uso.
# Formato: rank|en|lemma|pos|es|es_alt|cefr|hint
# Frecuencia: OpenSubtitles 2018. Traducciones: Wiktionary (CC BY-SA).
1931|warning|warning|interj|precaución|-|B1|-
1934|crash|crash|noun|choque|-|B1|vehicle accident
1935|bedroom|bedroom|noun|alcoba|dormitorio;cuarto;habitación|B1|-
1936|lower|lower|verb|bajar|-|B1|-
1937|silver|silver|noun|plata|-|B1|coins
1940|defense|defense|noun|defensa|-|B1|anything employed to oppose attack
1942|toilet|toilet|noun|baño|sanitario;váter|B1|-
1943|event|event|noun|evento|suceso;acontecimiento|B1|occurrence of social or personal importance
1944|complicated|complicated|adj|complicado|-|B1|difficult or convoluted
1945|shape|shape|noun|forma|-|B1|appearance or outline
1946|priest|priest|noun|cura|sacerdote;párroco|B1|clergyman
1947|royal|royal|adj|real|-|B1|-
1948|cheap|cheap|adj|barato|corriente|B1|of poor quality
1949|romantic|romantic|adj|romántico|-|B1|concerned with, or conducive to, romance and love
1951|invite|invite|verb|invitar|animar|B1|encourage
1952|fortune|fortune|noun|fortuna|-|B1|a chance
1954|avoid|avoid|verb|evitar|-|B1|to keep away from
1957|familiar|familiar|noun|espíritu familiar|familiar|B1|attendant spirit
1958|telephone|telephone|noun|teléfono|-|B1|-
1963|airport|airport|noun|aeropuerto|-|B1|a place designated for airplanes
1968|giant|giant|adj|gigantesco|-|B1|-
1969|insurance|insurance|noun|seguro|-|B1|business
1971|scare|scare|noun|asustar|atemorizar;espantar|B1|-
1973|period|period|noun|achaque|-|B1|-
1974|political|political|adj|político|-|B1|concerning or relating to politics
1975|player|player|noun|jugador|-|B1|-
1979|repeat|repeat|verb|repetir|-|B1|do or say again
1982|statement|statement|noun|declaración|-|B1|declaration or remark
1983|suck|suck|verb|chupar|sorber|B1|-
1985|china|china|noun|loza|-|B1|porcelain
1987|delicious|delicious|adj|delicioso|sabroso;rico;gustoso|B1|pleasing to taste
1989|proper|proper|adj|conveniente|preciso|B1|following the established standards of behavior or manners
1993|bath|bath|noun|baño|-|B1|act of bathing
1995|site|site|noun|sitio|-|B1|a website
1996|knowledge|knowledge|noun|conocimiento|-|B1|awareness, state of having been informed
1997|led|led|noun|diodo luminoso|led|B1|light-emitting diode
1999|celebrate|celebrate|verb|celebrar|-|B1|-
2000|map|map|noun|plano|-|B1|-
2001|horn|horn|noun|viento|-|B1|any of several musical wind instruments
2002|eventually|eventually|adv|al final|finalmente|B1|in the end
2003|pity|pity|noun|compasión|piedad|B1|feeling of sympathy
2005|ashamed|ashamed|adj|avergonzado|abochornado;apenado|B1|feeling shame or guilt
2006|assume|assume|verb|asumir|-|B1|adopt an idea
2008|rise|rise|verb|salir|-|B1|-
2010|request|request|verb|demandar|pedir;solicitar;solicitud|B1|-
2013|data|data|noun|datos|-|B1|plural of datum
2014|carefully|carefully|adv|cuidadosamente|a conciencia;minuciosamente|B1|in a careful manner
2015|per|per|prep|por|según|B1|in accordance with
2017|jury|jury|noun|jurado|-|B1|group in a court of law
2019|positive|positive|adj|positivo|-|B1|definitely laid down
2020|attorney|attorney|noun|abogado|abogada;notario|B1|lawyer
2021|direction|direction|noun|dirección|-|B1|-
2025|location|location|noun|ubicación|-|B1|act of locating
2027|useless|useless|adj|inútil|-|B1|without use
2028|grant|grant|noun|beca|-|B1|-
2032|meal|meal|noun|harina|-|B1|coarse-ground edible part of various grains
2033|deliver|deliver|verb|entregar|-|B1|bring or transport something to its destination
2036|temple|temple|noun|sien|-|B1|region of skull
2037|scary|scary|adj|asustadizo|alarmante|B1|causing, or able to cause, fright
2040|regular|regular|adj|regular|-|B1|with constant frequency
2042|official|official|adj|oficial|-|B1|-
2043|jacket|jacket|noun|chaqueta|saco;americana;gabán|B1|piece of a man's suit
2044|switch|switch|noun|aguja|-|B1|movable section of railroad track
2045|grave|grave|adj|serio|seco;solemne;reservado|B1|having a sense of seriousness
2046|chase|chase|noun|persecución|-|B1|action of the verb "to chase"
2047|role|role|noun|papel|-|B1|character or part
2048|odd|odd|adj|aproximadamente|-|B1|about
2053|badly|badly|adj|mal|-|B1|ill, unwell
2054|tall|tall|adj|alto|-|B1|of a building
2055|confused|confused|adj|confuso|-|B1|chaotic, jumbled or muddled
2056|affair|affair|noun|amorío|aventura|B1|adulterous relationship
2057|television|television|noun|televisión|-|B1|program broadcasting
2058|shock|shock|noun|choque|-|B1|-
2061|pizza|pizza|noun|pizza|-|B1|a single instance of that dish
2062|image|image|noun|imagen|-|B1|characteristic as perceived by others
2064|golden|golden|adj|dorado|-|B1|-
2068|sexual|sexual|adj|sexual|-|B1|-
2069|suffer|suffer|verb|sufrir|-|B1|to undergo hardship
2071|wherever|wherever|conj|doquier|dondequiera;donde sea;donde|B1|-
2072|plate|plate|noun|plato|-|B1|a course at a meal
2073|appear|appear|verb|aparecer|-|B1|-
2074|chocolate|chocolate|adj|chocolate|de chocolate|B1|-
2075|clever|clever|adj|listo|inteligente|B1|mentally sharp or bright
2077|mercy|mercy|noun|misericordia|-|B1|-
2081|trap|trap|noun|sifón|-|B1|-
2084|bang|bang|noun|explosión|detonación|B1|An explosion
2085|poison|poison|noun|veneno|-|B1|substance harmful to a living organism
2086|butt|butt|noun|culo|nalgas|B1|buttocks
2087|drove|drove|noun|manada|horda;legión|B1|-
2088|yourselves|yourselves|pron|se|ustedes mismos|B1|-
2091|yellow|yellow|adj|amarillo|-|B1|-
2092|soup|soup|noun|sopa|caldo|B1|dish
2093|mystery|mystery|noun|misterio|-|B1|something secret or unexplainable
2096|wound|wound|verb|herir|lesionar|B1|hurt or injure
2097|traffic|traffic|noun|trata|-|B1|illegal trade or exchange of goods, often drugs
2098|courage|courage|noun|valor|-|B1|ability to do frightening things
2099|hunt|hunt|noun|caza|-|B1|the act of hunting, shooting
2100|indian|indian|adj|indio|hindú|B1|of or pertaining to India
2101|rat|rat|noun|rata|-|B1|rodent
2103|italian|italian|adj|italiano|-|B1|of or pertaining to Italy
2106|disease|disease|noun|enfermedad|-|B1|-
2108|winner|winner|noun|ganador|ganadora;vencedor|B1|one who has won or often wins
2109|council|council|noun|concejo|-|B1|committee that leads or governs
2110|appointment|appointment|noun|cita|-|B1|arrangement for a meeting; an engagement
2111|monday|monday|noun|lunes|-|B1|day of the week
2112|crack|crack|noun|chasquido|-|B1|-
2113|threat|threat|noun|amenaza|-|B1|indication of imminent danger
2115|physical|physical|adj|físico|-|B1|having to do with the body
2116|nation|nation|noun|nación|-|B1|community of people
2117|source|source|noun|origen|-|B1|-
2119|healthy|healthy|adj|saludable|sano|B1|conducive to health
2121|victory|victory|noun|victoria|-|B1|-
2126|disgusting|disgusting|adj|asqueroso|repulsivo;nauseabundo;despreciable|B1|repulsive, distasteful
2127|palace|palace|noun|palacio|-|B1|large, lavish residence
2128|below|below|adv|abajo|-|B1|in a lower place
2130|neighborhood|neighborhood|noun|barrio|-|B1|division of a municipality or region
2131|march|march|noun|marcha|-|B1|formal, rhythmic way of walking
2132|lips|lips|noun|labios|-|B1|plural of lip
2133|midnight|midnight|noun|medianoche|-|B1|12 o'clock at night
2134|piss|piss|noun|meado|orina;meada|B1|urine
2135|advantage|advantage|noun|ventaja|-|B1|-
2136|pure|pure|adj|puro|-|B1|free of foreign material or pollutants
2139|jerk|jerk|noun|tic|espasmo;estremecimiento;repullo|B1|sudden, uncontrolled movement
2140|mail|mail|noun|correo|-|B1|postal delivery system
2141|dawn|dawn|noun|alba|amanecer;aurora;madrugada|B1|morning twilight period
2142|effect|effect|noun|efecto|-|B1|result of an action
2143|spell|spell|noun|rato|período|B1|indefinite period of time
2144|freak|freak|noun|capricho|antojo|B1|sudden causeless change or turn of the mind
2145|wood|wood|noun|leña|-|B1|firewood
2146|screwed|screwed|adj|jodido|cagado;en el horno|B1|beset with unfortunate circumstances
2149|awake|awake|adj|listo|despierto|B1|alert, aware
2151|vacation|vacation|noun|vacación|-|B1|-
2152|violence|violence|noun|violencia|-|B1|extreme force
2154|grandmother|grandmother|noun|abuela|-|B1|mother of someone's parent
2155|modern|modern|adj|moderno|-|B1|pertaining to the current time and style
2158|prime|prime|adj|primo|primoroso;excelente|B1|first in excellence, quality, or value
2161|talent|talent|noun|talento|-|B1|marked ability or skill
2162|whore|whore|verb|putear|proxenentizar;encafichar|B1|to pimp
2163|piano|piano|noun|piano|-|B1|a keyboard musical instrument
2164|license|license|noun|licenciatura|-|B1|academic degree
2166|honour|honour|verb|honrar|-|B1|-
2167|concern|concern|noun|interés|-|B1|that which affects one's welfare or happiness
2169|available|available|adj|disponible|-|B1|capable of being used
2170|factory|factory|noun|fábrica|-|B1|manufacturing place
2172|value|value|noun|valor|-|B1|numerical quantity measured or assigned or computed
2173|central|central|adj|centro|-|B1|-
2174|union|union|noun|unión|-|B1|in set theory
2175|mirror|mirror|noun|espejo|-|B1|smooth reflecting surface
2176|studio|studio|noun|estudio|-|B1|artist’s or photographer’s workshop
2177|media|media|noun|medios de comunicación|-|B1|-
2178|taxi|taxi|noun|taxi|taxímetro;libre|B1|vehicle
2180|iron|iron|noun|hierro|-|B1|element
2181|hearts|hearts|noun|corazones|-|B1|-
2182|desire|desire|noun|deseo|gana|B1|-
2183|rob|rob|verb|asaltar|-|B1|to steal from, using violence
2188|monkey|monkey|noun|mono|chango;mico;simio|B1|primate
2189|pride|pride|noun|manada|-|B1|company of lions
2191|miracle|miracle|noun|milagro|-|B1|wonderful event attributed to supernatural powers
2192|swim|swim|verb|nadar|-|B1|move through water
2196|christian|christian|adj|cristiano|-|B1|of, like or relating to Christianity
2198|hook|hook|verb|enganchar|-|B1|make addicted
2199|beating|beating|noun|latido|-|B1|the pulsation of the heart
2200|protection|protection|noun|protección|-|B1|process of keeping safe
2201|treatment|treatment|noun|tratamiento|-|B1|medical care for an illness or injury
2202|ear|ear|noun|espiga|-|B1|fruiting body of a grain plant
2204|metal|metal|noun|metal|-|B1|atomic element
2205|disappear|disappear|verb|desaparecer|-|B1|to vanish
2206|grateful|grateful|adj|complacido|-|B1|recognizing the importance of a source of pleasure
2207|extremely|extremely|adv|extremadamente|sumamente|B1|to an extreme degree
2208|treasure|treasure|noun|tesoro|-|B1|any single thing one values greatly
2209|rescue|rescue|verb|rescatar|-|B1|-
2210|capable|capable|adj|capaz|-|B1|able and efficient
2211|passing|passing|adj|pasajero|-|B1|that passes away; ephemeral
2212|chatter|chatter|noun|charlatanear|-|B1|-
2213|result|result|noun|resultado|resolución|B1|-
2214|suffering|suffering|adj|sufrido|-|B1|experiencing pain
2217|governor|governor|noun|gobernador|-|B1|-
2220|text|text|noun|texto|-|B1|a book, tome or other set of writings
2221|literally|literally|adv|literalmente|-|B1|not metaphorically
2222|remove|remove|verb|quitar|remover|B1|to take away
2224|performance|performance|noun|rendimiento|desempeño|B1|-
2226|rate|rate|noun|tasa|-|B1|proportional relationship between amounts
2227|deeply|deeply|adv|a fondo|-|B1|profoundly
2228|scream|scream|noun|grito|-|B1|loud exclamation
2229|desert|desert|verb|abandonar|-|B1|to abandon
2230|vehicle|vehicle|noun|vehículo|-|B1|a conveyance
2231|illegal|illegal|adj|ilegal|-|B1|prohibited by established rules
2235|unbelievable|unbelievable|adj|increíble|-|B1|incredible
2237|zero|zero|noun|cero|-|B1|-
2238|dean|dean|noun|decano|-|B1|senior official in college or university
2239|curious|curious|adj|curioso|-|B1|inquisitive
2241|candy|candy|noun|caramelo|dulce|B1|-
2242|bone|bone|noun|hueso|-|B1|material
2244|edge|edge|noun|ventaja|-|B1|an advantage
2245|load|load|noun|carga|cargamento|B1|-
2249|boom|boom|interj|pum|-|B1|sound of explosion
2250|former|former|adj|anterior|-|B1|previous
2251|holiday|holiday|noun|festividad|fiesta|B1|-
2255|motherfucker|motherfucker|noun|hijo de puta|hideputa;mal parido;huevón|B1|generic term of abuse
2256|sue|sue|verb|demandar|-|B1|to file a legal action
2260|arrive|arrive|verb|llegar|arribar|B1|to get to a certain place
2262|decent|decent|adj|decente|-|B1|showing integrity, fairness, moral uprightness
2264|tip|tip|noun|propina|-|B1|-
2265|fail|fail|verb|pararse|-|B1|cease to operate
2266|bride|bride|noun|novia|-|B1|-
2267|pissed|pissed|adj|enojado|disgustado|B1|Annoyed, angry
2268|penny|penny|noun|penique|-|B1|1/100 of a pound sterling or British pound
2269|claim|claim|noun|concesión|-|B1|demand of ownership for previously unowned land
2270|friendship|friendship|noun|amistad|-|B1|-
2271|desperate|desperate|adj|desesperado|-|B1|filled with despair
2272|flower|flower|noun|flor|-|B1|reproductive structure in angiosperms
2273|dramatic|dramatic|adj|dramático|-|B1|of or relating to the drama
2274|refuse|refuse|noun|basura|-|B1|items or material that have been discarded
2275|solve|solve|verb|resolver|solucionar|B1|to find an answer or solution
2276|theme|theme|noun|tema|-|B1|recurring idea
2277|loving|loving|adj|cariñoso|amoroso|B1|expressing a large amount of love
2279|dragon|dragon|noun|dragón|guiverno|B1|mythical creature
2280|mostly|mostly|adv|principalmente|-|B1|for the most part
2282|directly|directly|adv|directamente|-|B1|in a direct manner
2283|surface|surface|noun|superficie|-|B1|up-side of a flat object
2284|false|false|adj|falso|falaz|B1|-
2285|cast|cast|noun|reparto|-|B1|group of people performing a play
2288|silent|silent|adj|silencioso|-|B1|-
2289|thou|thou|pron|tú|-|B1|singular informal form of "you"
2290|egg|egg|noun|huevo|-|B1|culinary ingredient
2292|punch|punch|noun|ponche|-|B1|beverage
2295|intelligence|intelligence|noun|inteligencia|-|B1|capacity of mind
2296|borrow|borrow|verb|tomar prestado|-|B1|receive temporarily
2299|popular|popular|adj|popular|-|B1|liked by many people
2301|witch|witch|noun|bruja|-|B1|derogatory: ugly or unpleasant woman
2303|warn|warn|verb|alertar|avisar;advertir|B1|to make someone aware of impending danger
2304|announcer|announcer|noun|anunciador|locutor|B1|-
2305|champagne|champagne|noun|champaña|champán|B1|-
2306|dust|dust|verb|desempolvar|limpiar el polvo|B1|-
2308|someday|someday|adv|algún día|-|B1|sometime; at some time in the future
2310|stranger|stranger|noun|forastero|extranjero|B1|foreigner
2311|presence|presence|noun|presencia|-|B1|fact or condition of being present
2312|tear|tear|verb|desgarrarse|-|B1|become torn
2315|therefore|therefore|adv|por eso|-|B1|consequently; by consequence
2316|technology|technology|noun|tecnología|-|B1|a particular technological concept
2318|toast|toast|verb|tostar|-|B1|to lightly cook by browning over fire
2319|wise|wise|adj|sabio|juicioso|B1|showing good judgement
2323|smoking|smoking|noun|fumar|-|B1|-
2327|wolf|wolf|noun|lobo|-|B1|animal
2328|precious|precious|adj|precioso|-|B1|of high value or worth
2330|coast|coast|verb|deslizar|-|B1|to glide along with no added energy
2332|material|material|adj|material|-|B1|related to matter
2334|uniform|uniform|adj|uniforme|-|B1|-
2337|rice|rice|noun|arroz|-|B1|plants
2338|exchange|exchange|noun|intercambio|-|B1|act of exchanging or trading
2341|convince|convince|verb|convencer|-|B1|-
2342|beast|beast|noun|bestia|-|B1|non-human animal
2343|cow|cow|noun|bruja|-|B1|derogatory: despicable woman
2346|drag|drag|verb|arrastrar|-|B1|to pull along a surface
2348|hung|hung|adj|vergón|-|B1|having a large penis
2350|ordinary|ordinary|adj|ordinario|-|B1|normal, routine
2351|successful|successful|adj|exitoso|triunfador|B1|resulting in success
2352|eve|eve|noun|víspera|vigilia|B1|day or night before
2358|creature|creature|noun|criatura|-|B1|-
2359|fourth|fourth|adj|cuarto|4º; cuarta;4ª|B1|-
2360|separate|separate|verb|separar|disgregar|B1|-
2365|shift|shift|noun|cambio|desviación;deslizamiento;desplazamiento|B1|act of shifting
2368|exact|exact|adj|exacto|-|B1|precisely agreeing
2370|goal|goal|noun|meta|-|B1|result one is attempting to achieve
2371|expert|expert|adj|experto|-|B1|extraordinarily capable or knowledgeable
2373|direct|direct|adj|directo|-|B1|Straight, constant, without interruption
2374|score|score|noun|partitura|-|B1|book containing musical composition
2375|row|row|noun|remo|remado|B1|exercise
2377|twenty|twenty|num|veinte|-|B1|cardinal number
2378|receive|receive|verb|recibir|-|B1|get
2379|series|series|noun|serie|-|B1|-
2380|section|section|noun|sección|-|B1|part of a document
2381|pilot|pilot|noun|piloto|-|B1|controller of aircraft
2383|darkness|darkness|noun|oscuridad|-|B1|state of being dark
2384|thy|thy|pron|tu|tuyo|B1|possessive determiner
2385|sale|sale|noun|liquidación|rebaja|B1|-
2386|destiny|destiny|noun|destino|azar|B1|predetermined condition; fate; fixed order of things
2387|cure|cure|noun|cura|curación|B1|-
2389|armed|armed|adj|armado|-|B1|equipped, especially with a weapon
2390|rare|rare|adj|crudo|poco hecho|B1|cooked very lightly
2392|grade|grade|noun|desnivel|-|B1|slope of a roadway or other passage
2393|juice|juice|noun|jugo|zumo|B1|-
2394|wide|wide|adj|ancho|-|B1|-
2395|tower|tower|noun|torre|-|B1|-
2396|solution|solution|noun|solución|-|B1|liquid mixture
2397|schedule|schedule|noun|horario|itinerario|B1|time-based plan of events
2399|wheel|wheel|noun|volante|-|B1|-
2400|cigarette|cigarette|noun|cigarrillo|-|B1|-
2402|fruit|fruit|noun|fruta|-|B1|food
2405|talks|talks|noun|negociación|-|B1|meetings, negotiation
2406|sacrifice|sacrifice|verb|sacrificar|-|B1|-
2407|range|range|noun|dehesa|-|B1|area of open, often unfenced, grazing land
2408|button|button|noun|botón|prendedor|B1|a badge worn on clothes
2410|prisoner|prisoner|noun|prisionero|preso|B1|-
2411|pie|pie|noun|empanada|-|B1|-
2412|effort|effort|noun|ahínco|-|B1|-
2413|youth|youth|noun|juventud|-|B1|quality or state of being young
2414|pot|pot|noun|marihuana|-|B1|marijuana
2418|garage|garage|noun|garaje|-|B1|place to store a car, etc.
2419|parking|parking|noun|estacionamiento|aparcamiento|B1|space
2420|ambulance|ambulance|noun|ambulancia|-|B1|emergency vehicle
2424|sin|sin|noun|pecado|-|B1|-
2426|progress|progress|noun|progreso|-|B1|a moving forward
2428|county|county|noun|condado|-|B1|administrative region of various countries
2429|stairs|stairs|noun|escalera|-|B1|contiguous set of steps
2430|campaign|campaign|noun|campaña|-|B1|-
2431|vision|vision|noun|visión|-|B1|a religious or mystical experience
2432|reporter|reporter|noun|reportero|-|B1|journalist
2433|equipment|equipment|noun|equipamiento|equipo|B1|whatever is used in equipping
2436|mass|mass|noun|masa|-|B1|-
2437|alien|alien|noun|desconocido|desconocida|B1|person, etc. from outside
2438|trapped|trapped|adj|atrapado|-|B1|caught in a trap
2440|route|route|noun|recorrido|trayecto|B1|-
2441|defend|defend|verb|defender|-|B1|ward off attacks from
2442|trace|trace|noun|huella|rastro;traza|B1|mark left as a sign of passage
2445|magazine|magazine|noun|cargador|-|B1|ammunition clip
2447|dump|dump|verb|echar|-|B1|-
2448|rude|rude|adj|rudo|-|B1|bad-mannered
2450|clue|clue|noun|pista|indicio|B1|-
2451|connected|connected|verb|conexo|-|B1|being perfect
2452|amen|amen|adv|amén|-|B1|so be it
2454|merry|merry|adj|alegre|-|B1|Jolly and full of high-spirits
2455|zone|zone|noun|zona|-|B1|-
2456|senior|senior|noun|señor|-|B1|someone older than someone else
2457|closing|closing|noun|clausura|-|B1|end or conclusion
2458|freeze|freeze|verb|helar|-|B1|become solid due to low temperature
2459|emperor|emperor|noun|emperador|-|B1|ruler of an empire
2460|incident|incident|noun|incidente|-|B1|event or occurrence
2461|snake|snake|noun|serpiente|culebra;sierpe;víbora|B1|legless reptile
2463|lily|lily|noun|azucena|-|B1|flower in the genus
2464|actor|actor|noun|actor|actriz|B1|-
2465|newspaper|newspaper|noun|periódico|-|B1|publication
2466|sentence|sentence|noun|sentencia|condena|B1|conviction
2469|friendly|friendly|noun|amistoso|amistosa|B1|-
2472|engaged|engaged|adj|comprometido|-|B1|agreed to be married
2474|charming|charming|adj|encantador|-|B1|pleasant, charismatic
2476|anger|anger|noun|ira|enfado;enojo;rabia|B1|-
2478|learning|learning|noun|conocimiento|-|B1|accumulated knowledge
2479|spy|spy|noun|espía|chivato|B1|person who secretly watches
2480|sharp|sharp|adj|filoso|-|B1|able to pierce easily
2481|shadow|shadow|noun|sombra|-|B1|dark image projected onto a surface
2482|warrant|warrant|noun|cédula|-|B1|finance: option to buy a security
2484|kingdom|kingdom|noun|reino|-|B1|-
2487|squad|squad|noun|escuadra|cuadrilla;escuadrón|B1|People organized
2488|shoulder|shoulder|noun|hombro|-|B1|joint between arm and torso
2489|wave|wave|verb|abanicar|-|B1|baseball: to swing and miss at a pitch
2493|fishing|fishing|noun|pesca|-|B1|business of catching fish
2494|sometime|sometime|adv|al rato|-|B1|-
2495|attitude|attitude|noun|actitud|-|B1|disposition or state of mind
2497|negative|negative|adj|negativo|-|B1|not positive or neutral
2498|screen|screen|noun|tamiz|malla|B1|a material woven from fine wires
2500|bored|bored|adj|aburrido|-|B1|suffering from boredom
2502|similar|similar|adj|semejante|-|B1|of geometric figures, having the same shape
2503|understanding|understanding|noun|comprensión|-|B1|-
2505|chain|chain|noun|cadena|-|B1|series of interconnected things
2506|bull|bull|noun|toro|-|B1|uncastrated adult male bovine
2508|fully|fully|adv|completamente|-|B1|in a full manner
2509|robin|robin|noun|mirlo|-|B1|-
2510|collect|collect|verb|juntar|recoger;reunir|B1|to gather together
2511|gorgeous|gorgeous|adj|guapísimo|-|B1|very beautiful
2513|passion|passion|noun|pasión|-|B1|any great emotion
2514|writer|writer|noun|escritor|escritora|B1|person who writes; an author
2515|empire|empire|noun|imperio|-|B1|political unit
2516|international|international|adj|internacional|-|B1|between, concerning, or transcending multiple nations
2517|curse|curse|noun|maldición|-|B1|supernatural detriment
2518|hire|hire|verb|alquilar|contratar;emplear|B1|-
2525|estate|estate|noun|finca|-|B1|area of land under single ownership
2529|device|device|noun|dispositivo|mecanismo|B1|piece of equipment
2530|troops|troops|noun|tropas|-|B1|military personnel in uniform
2531|hug|hug|noun|abrazo|-|B1|affectionate embrace
2532|design|design|noun|diseño|-|B1|art of designing
2533|movement|movement|noun|movimiento|-|B1|physical motion
2534|thunder|thunder|noun|estruendo|-|B1|deep, rumbling noise
2535|object|object|noun|objeto|-|B1|thing
2536|loser|loser|noun|perdedor|-|B1|person who fails to win
2537|pen|pen|noun|corral|-|B1|enclosed area for animals
2539|politics|politics|noun|política|-|B1|-
2540|despite|despite|prep|a pesar de|pese a;malgrado|B1|in spite of
2541|alcohol|alcohol|noun|alcohol|-|B1|intoxicating beverage
2542|climb|climb|verb|escalar|-|B1|to ascend, to go up
2544|conference|conference|noun|conferencia|-|B1|a meeting of people
2545|provide|provide|verb|proveer|-|B1|to give what is needed or desired
2547|seek|seek|verb|buscar|-|B1|to try to find
2549|earn|earn|verb|granjear|merecer|B1|deserve
2550|trash|trash|noun|papelera|-|B1|computer terminology
2551|valley|valley|noun|valle|-|B1|elongated depression between hills or mountains
2552|fashion|fashion|noun|moda|-|B1|-
2554|episode|episode|noun|episodio|-|B1|-
2555|prize|prize|noun|premio|-|B1|-
2556|previously|previously|adv|anteriormente|previamente|B1|at an earlier time
2559|debt|debt|noun|deuda|-|B1|-
2562|wire|wire|noun|alambre|hilo|B1|thin thread of metal
2563|thee|thee|pron|te|ti|B1|Objective case of 'thou'
2564|circle|circle|noun|curva|-|B1|curve
2565|approach|approach|verb|acercarse|-|B1|-
2566|stock|stock|noun|caldo|-|B1|broth
2569|percent|percent|noun|por ciento|-|B1|a part or other object per hundred
2570|normally|normally|adv|normalmente|de costumbre|B1|in the expected or customary manner
2571|tail|tail|noun|cola|-|B1|appendage of an animal
2573|education|education|noun|educación|-|B1|-
2574|bravo|bravo|noun|barcelona|-|B1|the letter "B"
2575|library|library|noun|biblioteca|-|B1|-
2576|rape|rape|noun|violación|-|B1|act of forcing sexual activity
2580|tank|tank|noun|tanque|-|B1|military fighting vehicle
2582|authority|authority|noun|autoridad|-|B1|power to enforce rules or give orders
2583|current|current|adj|actual|-|B1|-
2584|failure|failure|noun|fallo|fracaso|B1|state of condition opposite success
2585|nightmare|nightmare|noun|pesadilla|-|B1|a bad or difficult experience
2587|glory|glory|noun|gloria|-|B1|great beauty or splendour
2591|agency|agency|noun|oficina|agencia|B1|-
2592|apple|apple|noun|manzana|-|B1|fruit
2593|border|border|noun|cenefa|orla|B1|a decorative strip around the edge of something
2594|rope|rope|noun|cuerda|soga|B1|a length of this string
2595|duck|duck|noun|cero|-|B1|a batsman's score of zero after getting out
2596|reputation|reputation|noun|reputación|-|B1|what somebody is known for
2597|confidence|confidence|noun|certidumbre|-|B1|expression or feeling of certainty
2598|yard|yard|noun|patio|-|B1|land around a house
2599|beloved|beloved|adj|amado|-|B1|loved
2600|lack|lack|noun|falta|carencia|B1|deficiency, need
2601|actual|actual|adj|real|existente;verdadero|B1|existing in act or reality, not just potentially
2604|mental|mental|adj|mental|-|B1|relating to the mind
2605|salt|salt|adj|salino|-|B1|saline
2606|flesh|flesh|noun|carne|-|B1|animal tissue as food
2608|secure|secure|adj|seguro|aplomado|B1|Firm and not likely to fail; stable
2609|highly|highly|adv|altamente|-|B1|extremely, greatly, awfully
2610|federal|federal|adj|federal|-|B1|-
2611|sand|sand|noun|playa|-|B1|beach
2612|emotional|emotional|adj|emocional|-|B1|characterised by emotion
2613|setting|setting|adj|poniente|-|B1|that disappears below the horizon
2615|senator|senator|noun|senador|senadora|B1|-
2617|robbery|robbery|noun|robo|-|B1|act or practice of robbing
2620|reward|reward|noun|recompensa|-|B1|-
2621|theater|theater|noun|teatro|-|B1|drama or performance as a profession or artform
2623|commit|commit|verb|cometer|-|B1|to do; to perpetrate
2626|extraordinary|extraordinary|adj|extraordinario|-|B1|not ordinary
2628|opposite|opposite|adj|opuesto|-|B1|located directly across from
2632|chat|chat|noun|charla|-|B1|-
2634|mummy|mummy|noun|mamá|-|B1|childs term for
2635|bay|bay|noun|bahía|-|B1|body of water
2636|slip|slip|noun|resbalón|-|B1|act of slipping
2637|disappointed|disappointed|adj|decepcionado|-|B1|defeated of hope or expectation
2641|alert|alert|adj|alerto|vigilante|B1|attentive
2642|detail|detail|noun|detalle|-|B1|-
2643|pink|pink|noun|clavel|-|B1|flower
2646|background|background|noun|formación|-|B1|social heritage
2647|garbage|garbage|noun|basura|-|B1|waste material
2648|panic|panic|noun|pánico|-|B1|overpowering fright
2650|belt|belt|noun|cinturón|cinturón de seguridad|B1|band used for safety purposes
2653|agreement|agreement|noun|acuerdo|convenio|B1|An understanding to follow a course of conduct
2656|ability|ability|noun|capacidad|-|B1|a skill or competence
2657|tiger|tiger|noun|tigre|-|B1|The mammal
2659|culture|culture|noun|cultura|-|B1|arts, customs and habits
2660|saint|saint|noun|santo|santa|B1|-
2662|task|task|noun|tarea|quehacer|B1|-
2663|solid|solid|adj|sólido|-|B1|-
2664|doll|doll|noun|muñeca|-|B1|a toy in the form of a human
2665|intend|intend|verb|pretender|intentar|B1|to fix the mind upon a goal
2666|district|district|noun|distrito|-|B1|-
2667|pa|pa|noun|abuelo|abuelito|B1|grandfather
2668|gee|gee|noun|ge|-|B1|name of the letter G, g
2669|custody|custody|noun|custodia|tutela|B1|-
2670|ignore|ignore|verb|ignorar|-|B1|to deliberately pay no attention to
2671|naturally|naturally|adv|naturalmente|-|B1|in a natural manner
2672|useful|useful|adj|útil|-|B1|having a practical or beneficial use
2673|attempt|attempt|noun|atentado|-|B1|attack
2674|abandoned|abandoned|adj|abandonado|-|B1|forsaken, deserted
2675|cutting|cutting|noun|esqueje|-|B1|-
2677|guarantee|guarantee|noun|garantía|-|B1|anything that assures a certain outcome
2679|gather|gather|verb|acumular|-|B1|To accumulate
2680|policy|policy|noun|política|-|B1|principle of conduct
2681|violent|violent|adj|violento|-|B1|involving physical conflict
2682|maid|maid|noun|criada|doméstica;empleada doméstica;muchacha de servicio|B1|female servant or cleaner
2683|embarrassing|embarrassing|adj|embarazoso|-|B1|causing embarrassment
